Year,Agreement_Type,Source_URL,Main_Title,Issued by,Date of Issue,Decision number,Date of entry into force of collective agreement,Expiry date of collective agreement,Date of signature of collective agreement,General applicability,Employer side,Employee side,PDF_1,PDF_2,PDF_3,PDF_4,PDF_5,PDF_6,PDF_7,Comments
2015,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2015/15,Kollektivavtal för tjänstemän inom snickeriindustrin,Committee for Confirming the General Applicability of Collective Agreements,7.9.2015,15/2015,1.4.2025,30.4.2028,24.3.2025,Kollektivavtalet är allmänt bindande,"Snickeriindustrin rf, Puuteollisuus ry",Fackförbundet Pro rf,PuusepthStmRuotsi2504.pdf,PuusepthStmRuotsi2304.pdf,PuusepthStmRuotsi2203.pdf,,,,,
2015,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2015/17,Kollektivavtal för tandlaboratoriebranschen,Committee for Confirming the General Applicability of Collective Agreements,7.9.2015,17/2015,28.5.2025,31.1.2028,28.5.2025,Kollektivavtalet är allmänt bindande,Tandlaboratorieförbundet,Fackförbundet Pro rf,HammaslaboratorioalaStmRuotsi2505.pdf,HammaslaboratorioalaStmRuotsi2202.pdf,HammaslaboratorioalaStmRuotsi2002.pdf,,,,,
2015,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2015/19,Medialiiton ja Ammattiliitto Pron välinen viestintäalan teknisiä toimihenkilöitä koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,7.9.2015,19/2015,1.3.2025,29.2.2028,14.3.2025,Työehtosopimus on yleissitova,Medialiitto ry,Ammattiliitto Pro ry,Viestth2503.pdf,Viestth2303.pdf,ViestthPaivitetty2203.pdf,Viestth2203.pdf,,,,
2015,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2015/21,Huolto- ja kunnossapitoalan työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,14.12.2015,21/2015,1.4.2025,31.3.2028,23.5.2025,Työehtosopimus ei ole yleissitova,Palvelualojen työnantajat PALTA ry,Sähköalojen ammattiliitto ry,,,,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/3,Sosiaalialan järjestöjä koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,20.3.2017,3/2017,1.5.2025,30.4.2028,8.5.2025,Työehtosopimus on yleissitova,Hyvinvointialan liitto ry,Erityisalojen Toimihenkilöliitto ERTO ry,Sosjar2505.pdf,Sosjar2306.pdf,Sosjar2206.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/6,Suomen metsäkeskusta ja Metsätalouden kehittämiskeskus Tapiota koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,20.3.2017,6/2017,1.4.2014,31.1.2017,28.10.2013,Työehtosopimus ei ole yleissitova,Palvelualojen työnantajat PALTA ry,"Metsänhoitajaliitto ry, Meto-Metsäalan Asiantuntijat ry, Julkis- ja yksityisalojen toimihenkilöliitto Jyty ry",,,,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/14,Kollektivavtal för meijeriernas specialutbildade och tekniska funktionärer,Committee for Confirming the General Applicability of Collective Agreements,5.6.2017,14/2017,1.4.2025,31.3.2028,2.4.2025,Kollektivavtalet är allmänt bindande,Livsmedelsindustriförbundet rf,Förbundet för Mejeritekniska Funktionärer rf,MeitekthStmRuotsi2504.pdf,MeitekthStmRuotsi2304.pdf,MeitekthStmRuotsi2203.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/15,Meijerityöntekijöitä koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,5.6.2017,15/2017,14.4.2025,31.1.2028,14.4.2025,Työehtosopimus on yleissitova,Elintarviketeollisuusliitto ry,Suomen Elintarviketyöläisten Liitto SEL ry,Meijertt2504.pdf,Meijertt2302.pdf,Meijertt2102.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/17,Sähköistys- ja sähköasennusalan työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,5.6.2017,17/2017,1.4.2025,31.3.2028,16.5.2025,Työehtosopimus on yleissitova,"Palvelualojen työnantajat PALTA ry, Sähkötekniset työnantajat STTA ry",Sähköalojen ammattiliitto ry,Sahkoistys2504.pdf,Sahkoistys2304.pdf,Sahkoistys2204.pdf,,,,,
2017,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2017/18,Kollektivavtal för stuveribranchen,Committee for Confirming the General Applicability of Collective Agreements,21.8.2017,18/2017,1.3.2025,29.2.2028,7.3.2025,Kollektivavtalet är allmänt bindande,Hamnoperatörerna rf,Bil- och Transportbranschens Arbetarförbund AKT rf,AhtausStmRuotsi2503.pdf,AhtausStmRuotsi2302.pdf,AhtausStmRuotsi2202.pdf,,,,,
