id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
17582,J231,"CCNL per i dirigenti ed i funzionari delle Casse di Risparmio, Enti equiparati e Monti di Credito su pegno di 1a categoria","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Economico Nazionale per i funzionari delle Casse di Risparmio, Enti equiparati e Monti di Credito su pegno di 1a categoria (J231).txt",13829,0.0058,clean
18023,E068,CCNL 3 dicembre 1974 per gli addetti all'industria saccarifera,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 25 agosto 1964 per il rinnovo del CCNL 29 agosto 1961 per gli addetti all'industria saccarifera (E068).txt,366058,0.0117,clean
18350,G511,CCNL 10 giugno 1974 per i dipendenti dei foto laboratori conto terzi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo del CCNL per i dipendenti dei Fotolaboratori conto terzi (G511).txt,58601,0.0036,clean
20310,H501,CCNL sulla disciplina del rapporto di lavoro domestico,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL lavoro domestico (collaboratori familiari) (H501).txt,35349,0.006,clean
17735,A221,"CCNL 15 marzo 1974 per i dipendenti dalle organizzazioni degli allevatori, consorzi ed enti zootecnici",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Ipotesi di accordo per il rinnovo del CCNL dipendenti organizzazioni allevatori (A221).txt,27567,0.0047,clean
18096,E042,CCNL 1 ottobre 1973  per i dipendenti dalle aziende di lavorazione della foglia del tabacco,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 1 ottobre 1970 per i dipendenti dalle aziende di lavorazione della foglia del tabacco (E042).txt,7572,0.0102,clean
17324,H011,CCNL per i dipendenti da aziende commerciali 21 novembre 1973,"/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo di rinnovo CCNL Terziario, Distribuzione e Servizi (H011).txt",5553,0.0058,clean
17898,G021,CCNL  11 luglio 1973 per i dipendenti delle aziende cartotecniche e della trasformazione della carta e del cartone,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 17 maggio 1955 per l'attuazione nell'industria della trasformazione della carta e del cartone dell'accordo interconfederale 12 giugno 1954 per (G021).txt,46973,0.0077,clean
17896,G020,"CCNL  20 giugno 1973 per le aziende esercenti l'industria della carta e cartone, della cellulosa, pasta legno, fibra vulcanizzata e presfibra","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 8 aprile 1954 per le aziende esercenti l'industria della carta e cartone, della cellulosa, pastalegno, fibra vulcanizzata e presfibra (G020).txt",4585,0.0057,clean
18099,B122,CCNL 17 giugno 1973 per gli addetti alla industria della ceramica e all'industria degli abrasivi,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 2212008 per le imprese dei settori CERAMICA e per i lavoratori dalle stesse dipendenti (B122).txt,3331,0.0063,clean
